"VanillaC4_001 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_001.tcf]","Time (h)","V 2 [VanillaC4_001]","V 3 [VanillaC4_001]","V 4 [VanillaC4_001]","V 5 [VanillaC4_001]","V 6 [VanillaC4_001]","V 7 [VanillaC4_001]","V 8 [VanillaC4_001]","V 9 [VanillaC4_001]","V 10 [VanillaC4_001]","V 11 [VanillaC4_001]","V 12 [VanillaC4_001]","V 13 [VanillaC4_001]","V 14 [VanillaC4_001]","V 15 [VanillaC4_001]","V 16 [VanillaC4_001]","V  1 [VanillaC4_001]"
         670,        5.575000,          0.5788,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1624,          0.5792,          0.5559,          0.5530,          0.5562
         671,        5.583333,          0.5788,          0.0000,          0.4950,          0.4700,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1623,          0.5792,          0.5559,          0.5530,          0.5562
         672,        5.591667,          0.5789,          0.0000,          0.4950,          0.4700,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1624,          0.5791,          0.5559,          0.5530,          0.5562
         673,        5.600000,          0.5788,          0.0000,          0.4950,          0.4700,          0.5386,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1624,          0.5791,          0.5558,          0.5530,          0.5562
         674,        5.608333,          0.5789,          0.0000,          0.4949,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5792,          0.5558,          0.5530,          0.5563
         675,        5.616667,          0.5788,          0.0000,          0.4949,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5793,          0.5559,          0.5530,          0.5563
         676,        5.625000,          0.5789,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5792,          0.5559,          0.5531,          0.5562
         677,        5.633333,          0.5789,          0.0000,          0.4950,          0.4701,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1630,          0.0000,          0.1625,          0.5792,          0.5559,          0.5530,          0.5562
         678,        5.641667,          0.5788,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1624,          0.5792,          0.5559,          0.5530,          0.5563
         679,        5.650000,          0.5789,          0.0000,          0.4949,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5792,          0.5558,          0.5530,          0.5562
         680,        5.658333,          0.5789,          0.0000,          0.4950,          0.4700,          0.5386,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1624,          0.5792,          0.5559,          0.5530,          0.5562
         681,        5.666667,          0.5789,          0.0000,          0.4949,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5791,          0.5558,          0.5530,          0.5563
         682,        5.675000,          0.5788,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1624,          0.5792,          0.5558,          0.5530,          0.5562
         683,        5.683333,          0.5788,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1624,          0.5792,          0.5558,          0.5530,          0.5562
         684,        5.691667,          0.5789,          0.0000,          0.4950,          0.4700,          0.5386,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5792,          0.5559,          0.5529,          0.5563
         685,        5.700000,          0.5789,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5792,          0.5559,          0.5530,          0.5562
         686,        5.708333,          0.5788,          0.0000,          0.4950,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5792,          0.5559,          0.5530,          0.5563
         687,        5.716667,          0.5788,          0.0000,          0.4950,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5793,          0.5559,          0.5530,          0.5563
         688,        5.725000,          0.5788,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1625,          0.5791,          0.5559,          0.5530,          0.5562
         689,        5.733333,          0.5789,          0.0000,          0.4950,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1624,          0.5792,          0.5559,          0.5530,          0.5562
